section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
chorales,BWV_0631a.gp5,Guitar III,Guitar III,115,56.6,1.3,3,48-67,left as it is - already sits well
chorales,BWV_0631a.gp5,Bass,Bass,43,48.4,7.0,12,36-55,left as it is - already sits well
chorales,BWV_0632.gp5,Guitar I,Guitar II,103,61.0,2.0,6,53-70,left as it is - already sits well
chorales,BWV_0632.gp5,Guitar II,Guitar IV,135,57.0,2.1,8,41-72,left as it is - already sits well
chorales,BWV_0632.gp5,Guitar III,Guitar III,106,60.7,3.3,13,43-74,left as it is - already sits well
chorales,BWV_0632.gp5,Guitar IV,Guitar I,89,61.0,2.8,10,41-74,left as it is - already sits well
chorales,BWV_0632.gp5,Bass,Bass,99,36.2,1.8,5,28-48,left as it is - already sits well
chorales,BWV_0633.gp5,Guitar I,Guitar I,83,65.0,5.5,12,49-76,left as it is - already sits well
chorales,BWV_0633.gp5,Guitar II,Guitar II,88,64.6,2.8,10,50-74,left as it is - already sits well
chorales,BWV_0633.gp5,Guitar III,Guitar III,94,62.1,1.9,6,50-69,left as it is - already sits well
chorales,BWV_0633.gp5,Guitar IV,Guitar IV,73,58.4,1.8,5,52-69,left as it is - already sits well
chorales,BWV_0633.gp5,Bass,Bass,82,38.9,1.9,6,28-49,left as it is - already sits well
chorales,BWV_0634.gp5,Guitar I,Guitar I,81,67.5,3.8,12,59-76,left as it is - already sits well
chorales,BWV_0634.gp5,Guitar II,Guitar II,85,65.6,3.7,12,56-76,left as it is - already sits well
